rmse,mae,nse,kge,n,pss,model,horizon,gauge_id,water_body
0.024550130416858384,0.01553858784893293,0.9811353885346793,0.9905625079324271,1827,0.0,persistence,1,2004,Murtensee
0.11123264117484269,0.07130202932679085,0.6127381134462984,0.7419438937056151,1827,-3.5308370785052974,climatology,1,2004,Murtensee
0.07327602420471949,0.03103301391444093,0.9801473085310467,0.9900722839532289,1827,0.0,persistence,1,2007,Lac_de_Joux
0.5604412905239877,0.43131036530497036,-0.1613305406990868,0.15624832287507817,1827,-6.648358335575354,climatology,1,2007,Lac_de_Joux
0.014006920894837,0.008553688967481975,0.9930910607450931,0.9964816154469867,1827,0.0,persistence,1,2017,Zugersee
0.17357659822255048,0.13535526112858334,-0.060982859727539473,0.045807045814718284,1827,-11.392202363799413,climatology,1,2017,Zugersee
0.024119629729973658,0.01460986905814539,0.9824062592715812,0.9911928501619319,1827,0.0,persistence,1,2031,Ägerisee
0.21414063366412395,0.1741572857540914,-0.3868039871436635,-0.1531596535881934,1827,-7.878272015843164,climatology,1,2031,Ägerisee
0.028479430179681364,0.01671363219898047,0.8358245163325261,0.9178854586919283,1827,0.0,persistence,1,2066,St._Moritzersee
0.07584176775923825,0.062049430757651694,-0.16429386105368837,0.48409225575337056,1827,-1.6630366998475807,climatology,1,2066,St._Moritzersee
0.023738638501805735,0.012433223139905279,0.9795074040259093,0.9897463542507702,1740,0.0,persistence,1,2072,Silsersee
0.10395876978600438,0.07711713320301122,0.6069863567350515,0.7808184488805979,1740,-3.379306327028676,climatology,1,2072,Silsersee
0.02275738964959195,0.01328043613294703,0.9832392202132114,0.9916195978585014,1827,0.0,persistence,1,2073,Silvaplanersee
0.1607679655440174,0.12895152549562586,0.16353386864874175,0.7370664751002867,1827,-6.064429093997608,climatology,1,2073,Silvaplanersee
0.02548771299026637,0.015808803618241645,0.9848074389571342,0.9923300652695644,1827,0.0,persistence,1,2081,Pfäffikersee
0.19583713325276908,0.16159361671263064,0.10306836862723112,0.2858375210480196,1827,-6.6835898665195375,climatology,1,2081,Pfäffikersee
0.02940612606375663,0.016543823055619803,0.9794450935557482,0.9897219881364709,1827,0.0,persistence,1,2082,Greifensee
0.20678264465577306,0.1611034078225423,-0.016407932697842575,-0.10790379466855127,1827,-6.031958041920895,climatology,1,2082,Greifensee
0.009384222703127186,0.005895448908152946,0.9960584337370277,0.9978333845576788,1827,0.0,persistence,1,2097,Hallwilersee
0.122792334145788,0.07384081313086192,0.32513837969589177,0.3815512319301333,1827,-12.08497656442753,climatology,1,2097,Hallwilersee
0.029549309322410018,0.015001216323055502,0.970731662076709,0.9853621451955243,1827,0.0,persistence,1,2101,Lago_di_Lugano
0.16993681540726133,0.13482298892046374,0.03199334546931276,-0.06187147683419947,1827,-4.7509572746048,climatology,1,2101,Lago_di_Lugano
0.021042261771734926,0.01200628745456377,0.9914884347436705,0.9957270494642917,1827,0.0,persistence,1,2137,Baldeggersee
0.2061094574204669,0.16638727025590272,0.18337920464435864,0.14449244401339223,1827,-8.795023921683361,climatology,1,2137,Baldeggersee
0.010964466679987643,0.0066325938630836115,0.9943745978165024,0.9971663132079656,1827,0.0,persistence,1,2168,Sempachersee
0.1371148460664201,0.1097748998441693,0.12027382483362936,0.07691867091272664,1827,-11.505382164796238,climatology,1,2168,Sempachersee
0.06972861290726694,0.038505827925038844,0.9233975742875258,0.9617080870157834,1827,0.0,persistence,1,2484,Lauerzersee
0.2669057501912541,0.2135281088539169,-0.12237072641202684,-0.13865633405861222,1827,-2.827779430321034,climatology,1,2484,Lauerzersee
0.01752818397938456,0.012457369376524823,0.9903835649244288,0.9796089677959788,1827,0.28602481201696217,ridge,1,2004,Murtensee
0.0915759393300817,0.04659798288164343,0.9689930990054001,0.9795349212778839,1827,-0.24973946558884896,ridge,1,2007,Lac_de_Joux
0.007055545122887682,0.0049365894537714726,0.9982469787938318,0.9851357186040703,1827,0.496281504274906,ridge,1,2017,Zugersee
0.013159381861543312,0.007954454635960452,0.994762935849102,0.9818703278656336,1827,0.4544119454209514,ridge,1,2031,Ägerisee
0.02620833252699819,0.01646506383373228,0.8609648870921479,0.9304566507302882,1827,0.07974519287620752,ridge,1,2066,St._Moritzersee
0.023686928596462837,0.013737292052708695,0.9795965848824714,0.989732678582245,1740,0.002178301225614354,ridge,1,2072,Silsersee
