rmse,mae,nse,kge,n,pss,model,horizon,gauge_id,water_body,stratum
0.02293400014891225,0.014976852732069779,0.98361239202643,0.9782553278933855,452,0.32992613994118214,ridge,1,2004,Murtensee,season_winter
0.01631769591225062,0.011754685907778673,0.9738209407372179,0.984528591871797,460,0.25374607496962964,ridge,1,2004,Murtensee,season_snowmelt
0.014887458908386313,0.011973370095957198,0.9553499518223342,0.9528446428982106,460,0.1353167285988629,ridge,1,2004,Murtensee,season_summer
0.014761775318658582,0.011154221218234752,0.9853197393492885,0.9763390918276683,455,0.32149241035729004,ridge,1,2004,Murtensee,season_autumn
0.03616291411612916,0.022438024642619868,0.7787801259278593,0.8930175687933719,94,0.3238984407021811,ridge,1,2004,Murtensee,high_5pct
0.014255806215027263,0.012550874129586824,0.9761106960271719,0.9727698903138334,92,0.16173838273170016,ridge,1,2004,Murtensee,low_5pct
0.06480306184686682,0.046524422704643825,0.9874602115980128,0.9801961440320075,452,0.01189830162411154,ridge,1,2007,Lac_de_Joux,season_winter
0.05117464518152057,0.038603562330163634,0.9811605280958775,0.9847969001866247,460,-0.18421443019316075,ridge,1,2007,Lac_de_Joux,season_snowmelt
0.05065875951770365,0.04035241486922478,0.9734934508022103,0.9773059184331935,460,-1.4526920245983428,ridge,1,2007,Lac_de_Joux,season_summer
0.15575540509938465,0.061067530001197495,0.9160752752448882,0.9496065208080433,455,-0.2730951817536662,ridge,1,2007,Lac_de_Joux,season_autumn
0.07603439803884723,0.051145932404887906,0.27146026551854396,0.39193518483251155,92,-0.03285970712480246,ridge,1,2007,Lac_de_Joux,high_5pct
0.18439013691741815,0.057540617569631164,-2.0999763680274732,-0.17508739650541516,92,-0.3246233861685093,ridge,1,2007,Lac_de_Joux,low_5pct
0.006277369730817291,0.004634957857350115,0.9980897389841649,0.9751846163449809,452,0.5163196893403443,ridge,1,2017,Zugersee,season_winter
0.007022953049144419,0.004840057638416362,0.9965990133759969,0.9713816480409174,460,0.5387584408038486,ridge,1,2017,Zugersee,season_snowmelt
0.008232214617278423,0.0058284864342734565,0.9986325030548953,0.9883000551716908,460,0.4794350317237349,ridge,1,2017,Zugersee,season_summer
0.006508857517765092,0.004432126828749256,0.9977046778266405,0.9866734077442796,455,0.4361432649553387,ridge,1,2017,Zugersee,season_autumn
0.010722793061891354,0.008002727549562532,0.9879902967647578,0.9826699339639491,93,0.5846778650221199,ridge,1,2017,Zugersee,high_5pct
0.00892731473704357,0.006202962239583901,0.8929068076708988,0.9577423841667746,93,-0.39641140048407375,ridge,1,2017,Zugersee,low_5pct
0.013237159864064717,0.008389173257964016,0.9946742991547164,0.9762386332283324,452,0.4760893928073633,ridge,1,2031,Ägerisee,season_winter
0.01822245780569252,0.009994619316140445,0.9875152709003208,0.9729885321607301,460,0.32523309398525435,ridge,1,2031,Ägerisee,season_snowmelt
0.010651806177526363,0.007400796110733441,0.9979928957468678,0.9878820612383559,460,0.5555486208547689,ridge,1,2031,Ägerisee,season_summer
0.008417815800215325,0.006019760903160494,0.9924915450946443,0.9753250469663267,455,0.5703219161598335,ridge,1,2031,Ägerisee,season_autumn
0.020254811741935934,0.013100644318956503,0.811267880182906,0.9110450278484538,92,0.5553438747126901,ridge,1,2031,Ägerisee,high_5pct
0.009876638076318648,0.007910287508395649,0.9593873262708896,0.9890264776875434,93,0.17700827866040014,ridge,1,2031,Ägerisee,low_5pct
0.013794062459581076,0.009667787264929133,0.6449499820406661,0.8317327494185716,452,-0.04687720477740398,ridge,1,2066,St._Moritzersee,season_winter
0.02237736685674454,0.015635319153028356,0.8406157811879283,0.9168354066269471,460,0.029276138139069596,ridge,1,2066,St._Moritzersee,season_snowmelt
0.0332994527822482,0.02085367486703559,0.8806242177935137,0.9384347676743119,460,0.1323975016410287,ridge,1,2066,St._Moritzersee,season_summer
0.030688181793958044,0.01961954842033295,0.6190571926377093,0.8138220425776538,455,0.05643247280271835,ridge,1,2066,St._Moritzersee,season_autumn
0.032355360468555285,0.01671224997230251,-3.3998271579589483,-0.4955679496775527,94,0.2354891505118093,ridge,1,2066,St._Moritzersee,high_5pct
0.03248948381890079,0.024214309210535582,-5.023986069127286,-0.31443626199684216,95,0.03329801346668115,ridge,1,2066,St._Moritzersee,low_5pct
0.022687841438025148,0.01219261038648439,0.9351494328259865,0.9681098711890219,392,-0.15186011294028257,ridge,1,2072,Silsersee,season_winter
0.025287620094517675,0.013933492387597368,0.9686583624159767,0.9642126120356754,433,0.06829098842140868,ridge,1,2072,Silsersee,season_snowmelt
0.023540195833799703,0.015404414540561764,0.8623695353162496,0.8666457042482415,460,0.02553430920489108,ridge,1,2072,Silsersee,season_summer
0.023095258706932943,0.013195938478512479,0.8940449696159335,0.9195621154165221,455,-0.0034103818935107277,ridge,1,2072,Silsersee,season_autumn
0.03799025413609537,0.024866664588877086,0.5086252924748078,0.6021961470340041,94,0.15434047687105812,ridge,1,2072,Silsersee,high_5pct
0.03575158137950572,0.018979335506768082,-0.4825957988312972,0.431094359714982,88,-0.04013774069354148,ridge,1,2072,Silsersee,low_5pct
0.015133119969369248,0.0094265715307559,0.9804025998764538,0.989348367684285,452,-0.5375711984774665,ridge,1,2073,Silvaplanersee,season_winter
0.01752551799710702,0.011914268427307454,0.9881736332990296,0.979807964271115,460,0.21404838801032788,ridge,1,2073,Silvaplanersee,season_snowmelt
0.025031284615845292,0.01795307617187815,0.8935657445017203,0.9126221740377644,460,0.1330832618070733,ridge,1,2073,Silvaplanersee,season_summer
0.0260911540400005,0.013659031552698842,0.9131655642611318,0.9411270520459444,455,-0.03313553721019313,ridge,1,2073,Silvaplanersee,season_autumn
0.041238775854211665,0.026410800365694858,0.4147115446543982,0.575289421307514,94,0.23636284294899879,ridge,1,2073,Silvaplanersee,high_5pct
0.018022511880182134,0.011771792204488362,0.941598413058783,0.9706204478393465,92,-0.005612102766331839,ridge,1,2073,Silvaplanersee,low_5pct
0.016228487064152638,0.011585265573147258,0.9949853561405998,0.9755642500161816,452,0.4013506020630776,ridge,1,2081,Pfäffikersee,season_winter
0.015003448336201304,0.010063805621602678,0.9872044780608107,0.9931146774820291,460,0.4310507651620221,ridge,1,2081,Pfäffikersee,season_snowmelt
0.019195796696372124,0.01100444073360608,0.9854251015433964,0.9917944359188261,460,0.2925048464526854,ridge,1,2081,Pfäffikersee,season_summer
0.012593822774039181,0.00967581022493285,0.9954836801960498,0.9853298955977979,455,0.39350523607039756,ridge,1,2081,Pfäffikersee,season_autumn
0.028095642649709058,0.022617990801409766,0.7506789819758862,0.8238516988737833,93,0.47753291584032687,ridge,1,2081,Pfäffikersee,high_5pct
0.008866959795944443,0.00725006899626163,0.9693381757416465,0.9930663020952484,92,0.3138614938957539,ridge,1,2081,Pfäffikersee,low_5pct
0.021501835847386908,0.011686290639691286,0.98159889822627,0.9739595642433985,452,0.3826378596726423,ridge,1,2082,Greifensee,season_winter
0.01816623695829612,0.009770491411134438,0.9890843650012392,0.9653236018914917,460,0.3907052662415055,ridge,1,2082,Greifensee,season_snowmelt
0.016808284696982416,0.009863627292799656,0.9961682249079338,0.9823671885980266,460,0.43753288343419006,ridge,1,2082,Greifensee,season_summer
0.012505985417399546,0.006829858666723324,0.9942711123791478,0.9803033081649081,455,0.42043765997508986,ridge,1,2082,Greifensee,season_autumn
0.04315558364229684,0.02680818598321064,0.9143958104302536,0.9638761429397126,94,0.3601854027096101,ridge,1,2082,Greifensee,high_5pct
0.007108604148078156,0.00565302220394654,0.945732611400473,0.9400428089113984,95,0.1606461850675902,ridge,1,2082,Greifensee,low_5pct
0.009173411784486512,0.006828172351759025,0.9946483656797631,0.9850015242752695,452,0.24688028886926805,ridge,1,2097,Hallwilersee,season_winter
0.006271928347072268,0.004449689695160037,0.9673468264417794,0.9793330374103574,460,0.10105246267687518,ridge,1,2097,Hallwilersee,season_snowmelt
0.007809910244723085,0.005630071756113762,0.9945329719040585,0.9775749961379656,460,0.22065346887209858,ridge,1,2097,Hallwilersee,season_summer
0.0075933063285743094,0.005643535123231056,0.9974950086060589,0.9711295795173204,455,-0.01941662251823395,ridge,1,2097,Hallwilersee,season_autumn
0.009054742461231334,0.005970345571529257,0.862112409688539,0.9298550433555897,94,0.4513033620161224,ridge,1,2097,Hallwilersee,high_5pct
0.011458511929757602,0.010483172872793404,0.7339792211565628,0.9275223860019707,92,-0.5869378204081515,ridge,1,2097,Hallwilersee,low_5pct
0.015957778717912215,0.008706818077065056,0.991944763369068,0.9703499456891869,452,0.2845339393677935,ridge,1,2101,Lago_di_Lugano,season_winter
0.013151759009465617,0.007976117208729351,0.9897926621788188,0.9736476777588929,460,0.42652642925263695,ridge,1,2101,Lago_di_Lugano,season_snowmelt
0.017301234485759327,0.008702858568274323,0.9870769698934685,0.9819704109749338,460,0.47737066543095585,ridge,1,2101,Lago_di_Lugano,season_summer
0.020314066963129748,0.0111606600918615,0.988360606101531,0.9697064477015714,455,0.4516182977457057,ridge,1,2101,Lago_di_Lugano,season_autumn
0.05030240538909579,0.032808153235390346,0.8055422885723929,0.910993892659838,92,0.3945098409163378,ridge,1,2101,Lago_di_Lugano,high_5pct
0.010515781988317036,0.008688368930611359,0.4767675008959613,0.8503457656846345,93,-0.18259489440523669,ridge,1,2101,Lago_di_Lugano,low_5pct
0.016272329877135585,0.009074877025527516,0.9934417540760611,0.9804635244218972,452,0.4253483155071658,ridge,1,2137,Baldeggersee,season_winter
0.009105963781347785,0.006326400093411413,0.9965881826382293,0.9745359497183225,460,0.48593029003633326,ridge,1,2137,Baldeggersee,season_snowmelt
