gauge_id,ID6,gauge_name,water_body,type,country,ORIG_FID,lon,lat,n_inhabitants,dens_inhabitants,hp_count,hp_qturb,hp_inst_turb,hp_max_power,num_reservoir,reservoir_cap,reservoir_he,reservoir_fs,reservoir_irr,reservoir_nousedata,reservoir_year_first,reservoir_year_last,catchment_area_km2,mean_elevation_m,mean_slope,specific_storage_mm,regulation_tier,glac_area,glac_area_neighbours,p_mean,pet_mean,aridity,frac_snow,crop_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,pct_complete_raw,pct_usable_final,start,end
2004,MuSMur,Murten,Murtensee,lake,CH,0,7.116918776238906,46.93074858468229,124387,174.529,0,0.0,0.0,0.0,0,0.0,,,,,,,712.7,431.0,5.53,0.0,N0,0.0,0.0,3.059,1.827,0.597,0.039,68.15,3.18,0.0,0.0,0.0,100.0,100.0,1981-01-01,2020-12-31
2007,LdJLeP,Le_Pont,Lac_de_Joux,lake,CH,1,6.324021023024173,46.665323874999565,10091,48.213,0,0.0,0.0,0.0,0,0.0,,,,,,,209.3,1002.0,8.13,0.0,N0,0.0,0.0,4.983,1.84,0.369,0.17,6.39,4.71,0.0,0.0,0.0,97.5,97.5,1981-01-01,2020-12-31
2017,ZuSZug,Zug,Zugersee,lake,CH,6,8.514322133089781,47.16787546032728,120844,483.376,0,0.0,0.0,0.0,0,0.0,,,,,,,250.0,413.0,9.65,0.0,N0,0.0,0.0,3.952,1.775,0.449,0.05,23.15,18.27,0.0,0.18,0.0,100.0,100.0,1981-01-01,2020-12-31
2021,LdLPon,Ponte_Tresa,Lago_di_Lugano,lake,CH,10,8.860318683678937,45.96879165815704,212454,348.972,0,0.0,0.0,0.0,0,0.0,,,,,,,608.8,272.0,20.02,0.0,N0,0.0,0.0,4.852,2.518,0.519,0.043,2.52,8.16,0.0,0.71,0.0,100.0,99.99,1981-01-01,2020-12-31
2022,LaMLoc,Locarno,Lago_Maggiore,lake,CH,11,8.804285111539436,46.16363850170769,801593,121.636,15,324.7,1376.33,1241.85,24,428560.0,1.0,0.0,0.0,0.0,1918.0,2010.0,6590.1,197.0,25.05,0.065,N1,20.7486,14.6971,4.74,2.101,0.443,0.172,4.23,4.86,0.65,5.2,7.78,100.0,100.0,1981-01-01,2020-12-31
2023,BrSRin,Ringgenberg,Brienzersee,lake,CH,12,7.898236253102829,46.701348717805296,31350,27.563,12,335.8,1310.2,1280.8,7,212650.0,1.0,0.0,0.0,0.0,1929.0,1958.0,1137.4,562.0,27.11,0.187,N1,150.4185,0.0,4.828,1.331,0.276,0.422,1.29,3.14,16.54,5.49,21.54,100.0,100.0,1981-01-01,2020-12-31
2025,ViSBru,Brunnen,Vierwaldstättersee,lake,CH,14,8.603783118272363,46.99347274406167,45074,44.743,1,30.0,164.8,160.0,4,101440.0,1.0,0.0,0.0,0.0,1910.0,1960.0,1007.4,432.0,27.87,0.101,N1,66.4505,0.0,4.589,1.429,0.311,0.393,0.67,2.36,7.47,10.55,24.22,100.0,100.0,1981-01-01,2020-12-31
2027,LLeStP,St-Prex,Lac_Léman,lake,CH,16,6.461143756086873,46.48279073095043,1250505,156.307,34,468.24,3706.43,3551.05,32,1228703.0,0.999,0.0,0.001,0.0,1914.0,1989.0,8000.3,372.0,20.21,0.154,N1,646.801,0.8562,3.534,1.757,0.497,0.303,9.01,7.49,9.05,6.2,15.82,100.0,100.0,1981-01-01,2020-12-31
2028,LLeGen,Genêve-Sécheron,Lac_Léman,lake,CH,17,6.152374461168087,46.21862035533973,1250505,156.307,34,468.24,3706.43,3551.05,32,1228703.0,0.999,0.0,0.001,0.0,1914.0,1989.0,8000.3,372.0,20.21,0.154,N1,646.801,0.8562,3.534,1.757,0.497,0.303,9.01,7.49,9.05,6.2,15.82,100.0,100.0,1981-01-01,2020-12-31
2031,AeSUnt,Unterägeri,Ägerisee,lake,CH,20,8.591832778234295,47.13797840510714,8217,170.832,0,0.0,0.0,0.0,0,0.0,,,,,,,48.1,723.0,12.6,0.0,N0,0.0,0.0,4.7,1.744,0.371,0.099,0.01,15.09,0.0,0.0,0.0,100.0,100.0,1981-01-01,2020-12-31
2032,BoSRom,Romanshorn,Bodensee_(Obersee),lake,CH,21,9.380996599115232,47.564789377366274,1538627,140.972,15,523.2,1825.4,1783.6,21,573280.0,0.999,0.0,0.0,0.0,1822.0,1989.0,10914.4,391.0,16.9,0.053,N1,48.2211,10.2948,3.666,1.62,0.442,0.26,11.47,4.63,0.57,6.64,7.4,100.0,100.0,1981-01-01,2020-12-31
2043,BoSBer,Berlingen,Bodensee_(Untersee),lake,CH,25,9.017579843926717,47.675465625117646,1772929,154.374,15,523.2,1825.4,1783.6,21,573280.0,0.999,0.0,0.0,0.0,1822.0,1989.0,11484.6,391.0,16.31,0.05,N1,48.2211,10.2948,3.602,1.64,0.455,0.248,12.63,4.95,0.54,6.33,7.03,100.0,100.0,1981-01-01,2020-12-31
2066,StMSMS,St._Moritz,St._Moritzersee,lake,CH,30,9.848065499617435,46.49753623881323,6700,39.136,0,0.0,0.0,0.0,0,0.0,,,,,,,171.2,1773.0,22.77,0.0,N0,7.2513,0.0,2.791,1.262,0.452,0.428,0.25,4.71,5.25,19.51,28.13,100.0,94.24,1981-01-01,2020-12-31
2072,SiBSil,Sils_Baselgia,Silsersee,lake,CH,34,9.753228463811094,46.4343520379883,632,13.799,0,0.0,0.0,0.0,0,0.0,,,,,,,45.8,1798.0,23.49,0.0,N0,2.5299,0.0,3.042,1.319,0.434,0.417,0.94,9.0,6.76,18.18,24.4,100.0,96.19,1981-01-01,2020-12-31
2073,SiSSil,Silvaplana,Silvaplanersee,lake,CH,35,9.802381342294074,46.460067541587186,2156,15.703,0,0.0,0.0,0.0,0,0.0,,,,,,,137.3,1788.0,23.23,0.0,N0,7.057,0.0,2.872,1.256,0.437,0.437,0.31,5.33,6.54,20.71,29.75,100.0,98.51,1981-01-01,2020-12-31
2074,LaMBri,Brissago,Lago_Maggiore,lake,CH,36,8.710902919413888,46.118126260964885,801593,121.636,15,324.7,1376.33,1241.85,24,428560.0,1.0,0.0,0.0,0.0,1918.0,2010.0,6590.1,191.0,25.05,0.065,N1,20.7486,14.6971,4.74,2.101,0.443,0.172,4.23,4.86,0.65,5.2,7.78,100.0,100.0,1981-01-01,2020-12-31
2081,PfSPfa,Pfäffikon,Pfäffikersee,lake,CH,39,8.78179599154886,47.36337723898209,15424,533.702,0,0.0,0.0,0.0,0,0.0,,,,,,,28.9,535.0,6.54,0.0,N0,0.0,0.0,3.89,1.744,0.448,0.054,45.08,10.59,0.0,0.99,0.0,100.0,100.0,1981-01-01,2020-12-31
2082,GrSGre,Greifensee,Greifensee,lake,CH,40,8.67484487583752,47.36443683356746,120559,735.116,0,0.0,0.0,0.0,0,0.0,,,,,,,164.0,440.0,4.92,0.0,N0,0.0,0.0,3.582,1.749,0.488,0.039,52.93,6.85,0.0,0.2,0.0,100.0,99.78,1981-01-01,2020-12-31
2088,SaSSar,Sarnen,Sarnersee,lake,CH,45,8.24241785412052,46.88772694567781,15698,58.487,3,47.0,80.0,80.0,2,7300.0,1.0,0.0,0.0,0.0,1958.0,1958.0,268.4,467.0,21.21,0.027,N1,0.0,0.0,4.539,1.599,0.352,0.197,1.26,3.82,0.0,5.46,2.32,100.0,100.0,1981-01-01,2020-12-31
2093,ThSSpi,Spiez-Kraftwerk_BKW,Thunersee,lake,CH,47,7.664559099536819,46.696742260723504,129698,52.906,13,335.98,1311.5,1282.1,7,212650.0,1.0,0.0,0.0,0.0,1929.0,1958.0,2451.5,561.0,24.95,0.087,N1,187.8922,0.0,4.419,1.397,0.316,0.326,1.24,3.46,9.44,4.96,15.66,100.0,100.0,1981-01-01,2020-12-31
2097,HaSMei,Meisterschwanden,Hallwilersee,lake,CH,48,8.220331164920488,47.29577401428927,36108,259.396,0,0.0,0.0,0.0,0,0.0,,,,,,,139.2,448.0,5.19,0.0,N0,0.0,0.0,3.128,1.686,0.539,0.04,65.12,11.06,0.0,0.0,0.0,100.0,100.0,1981-01-01,2020-12-31
2101,LdLMel,Melide-Ferrera,Lago_di_Lugano,lake,CH,50,8.94888892874453,45.96628776762893,87545,292.793,0,0.0,0.0,0.0,0,0.0,,,,,,,299.0,272.0,21.71,0.0,N0,0.0,0.0,4.953,2.457,0.496,0.058,2.0,9.57,0.0,1.17,0.0,100.0,100.0,1981-01-01,2020-12-31
2118,WaSMur,Murg,Walensee,lake,CH,61,9.210023012430831,47.11338017402605,50837,47.923,6,272.55,1561.76,1629.18,7,177710.0,1.0,0.0,0.0,0.0,1910.0,2015.0,1060.8,417.0,26.18,0.168,N1,20.904,0.0,4.9,1.467,0.299,0.305,1.23,2.74,2.17,7.62,14.9,100.0,100.0,1981-01-01,2020-12-31
2137,BaSGel,Gelfingen,Baldeggersee,lake,CH,69,8.266399237886333,47.2098646024357,16061,219.413,0,0.0,0.0,0.0,0,0.0,,,,,,,73.2,461.0,4.81,0.0,N0,0.0,0.0,3.187,1.624,0.51,0.04,74.81,7.16,0.0,0.0,0.0,100.0,100.0,1981-01-01,2020-12-31
2154,LdNGra,Grandson,Lac_de_Neuchâtel,lake,CH,76,6.642363022491778,46.805769653676236,410188,153.112,1,13.0,28.0,27.0,1,740.0,1.0,0.0,0.0,0.0,1955.0,1955.0,2679.0,427.0,6.83,0.0,N1,0.0,0.0,3.382,1.862,0.551,0.057,45.64,9.28,0.0,0.05,0.0,100.0,100.0,1981-01-01,2020-12-31
2168,SeSSem,Sempach,Sempachersee,lake,CH,83,8.189172556231318,47.1342945512417,21324,282.812,0,0.0,0.0,0.0,0,0.0,,,,,,,75.4,502.0,4.08,0.0,N0,0.0,0.0,3.135,1.657,0.528,0.041,62.26,19.09,0.0,0.0,0.0,100.0,100.0,1981-01-01,2020-12-31
2207,ViSLuz,Luzern,Vierwaldstättersee,lake,CH,97,8.319816013082296,47.05488228912761,251672,112.218,6,79.55,262.0,255.2,10,111149.0,1.0,0.0,0.0,0.0,1910.0,1965.0,2242.7,432.0,23.53,0.05,N1,73.6138,0.0,4.604,1.541,0.335,0.261,2.15,5.77,3.73,7.15,14.8,100.0,100.0,1981-01-01,2020-12-31
2208,BiSLig,Ligerz-klein_Twann,Bielersee,lake,CH,98,7.153090432854081,47.091677743339496,1317109,159.921,18,660.48,1506.8,1453.5,18,608560.0,1.0,0.0,0.0,0.0,1920.0,1973.0,8236.0,426.0,14.54,0.074,N1,190.5194,0.0,3.785,1.67,0.441,0.135,27.72,4.78,2.85,2.09,5.13,100.0,100.0,1981-01-01,2020-12-31
2209,ZuSZue,Zürich_(Zürichhorn),Zürichsee,lake,CH,99,8.550456578797101,47.354772216693355,496056,271.812,9,368.55,1814.52,1858.18,9,328210.0,1.0,0.0,0.0,0.0,1910.0,2015.0,1825.0,405.0,19.82,0.18,N1,20.904,0.0,4.697,1.584,0.337,0.186,10.63,6.67,1.26,5.08,8.81,100.0,100.0,1981-01-01,2020-12-31
2484,LaSLau,Lauerz-Chlostermatt,Lauerzersee,lake,CH,194,8.596637391819995,47.030968692549855,9683,133.743,0,0.0,0.0,0.0,0,0.0,,,,,,,72.4,448.0,15.35,0.0,N0,0.0,0.0,4.824,1.693,0.351,0.083,13.18,4.15,0.0,0.01,0.0,94.0,94.0,1981-01-01,2020-12-31
